Source,Target,Weight
MrBeast,Mark Rober,10
MrBeast,Marques Brownlee,10
MrBeast,Casey Neistat ,10
MrBeast,Zach King,10
MrBeast,Chris Ramsay,10
MrBeast,Dream,10
MrBeast,GeorgeNotFound,10
MrBeast,The Game Theorists,10
MrBeast,Jaiden Animations,10
MrBeast,TheOdd1sOut,10
MrBeast,PewDiePie,10
PewDiePie,Boyinaband,10
PewDiePie,RoomieOfficial,10
AnthonyPadilla,MrBeast,10
AnthonyPadilla,PewDiePie,10
AnthonyPadilla,TheOdd1sOut,10
AnthonyPadilla,Jaiden Animations,10
AnthonyPadilla,illymation,10
AnthonyPadilla,SomeThingElseYT,10
TheOdd1sOut,Jaiden Animations,10
TheOdd1sOut,Boyinaband,10
TheOdd1sOut,RoomieOfficial,10
Sultan Sketches,illymation,10
Sultan Sketches,TheAMaazing,10
Sultan Sketches,Emirichu,10
Sultan Sketches,Tabbes,10
Tabbes,Laddi,10
Tabbes,TheOdd1sOut,10
Tabbes,Wolfychu,10
illymation,Wolfychu,10
Wolfychu,TheOdd1sOut,10
Wolfychu,Emirichu,10
Emirichu,TheAMaazing,10
Emirichu,TimTom,10
Emirichu,CDawgVA,10
Emirichu,Daidus,10
Emirichu,The Anime Man,10
FootofaFerret,Jaiden Animations,10
FootofaFerret,TheOdd1sOut,10
FootofaFerret,TimTom,10
FootofaFerret,SomeThingElseYT,10
FootofaFerret,Tabbes,10
FootofaFerret,Domics,10
FootofaFerret,Let Me Explain Studios,10
Let Me Explain Studios,SomeThingElseYT,10
RushLight Invader,TheOdd1sOut,10
RushLight Invader,SomeThingElseYT,10
RushLight Invader,Jaiden Animations,10
RushLight Invader,shgurr,10
RushLight Invader,Tabbes,10
RushLight Invader,TheAMaazing,10
Laddi,RushLight Invader,10
TheAMaazing,Laddi,10
TheAMaazing,Jaiden Animations,10
TheAMaazing,TheOdd1sOut,10
shgurr,Jaiden Animations,10
shgurr,TheOdd1sOut,10
Domics,Jaiden Animations,10
Domics,GingerPale,10
illymation,SomeThingElseYT,10
SomeThingElseYT,TheOdd1sOut,10
SomeThingElseYT,Jaiden Animations,10
Life Noggin,MrBeast,10
Life Noggin,TheOdd1sOut,10
Life Noggin,Jaiden Animations,10
Life Noggin,Juniper,10
Life Noggin,AnthonyPadilla,10
Life Noggin,TierZoo,10
Life Noggin,GingerPale,10
GingerPale,CircletoonsHD,10
GingerPale,Jaiden Animations,10
Jaiden Animations,Boyinaband,10
The Anime Man,Daidus,10
The Anime Man,PewDiePie,10
The Anime Man,Gigguk,10
The Anime Man,Abroad in Japan,10
The Anime Man,MrBeast,5
Abroad in Japan,CDawgVA,10
Dogen,CDawgVA,10
Dogen,The Anime Man,5
Dogen,Abroad in Japan,5
Mark Rober,SmarterEveryDay,10
Mark Rober,Captain Disillusion,10
SmarterEveryDay,Steve Mould,10
Veritasium,SmarterEveryDay,10
Veritasium,Physics Girl,10
Veritasium,Vsauce,10
Veritasium,Numberphile,10
Veritasium,Vihart,10
Veritasium,MinutePhysics,10
Veritasium,CGPGrey,10
Steve Mould,Stand-up Maths,10
3Blue1Brown,Stand-up Maths,10
3Blue1Brown,Wendover Productions,10
3Blue1Brown,Welch Labs,10
3Blue1Brown,MinutePhysics,10
3Blue1Brown,Ben Eater,10
3Blue1Brown,Mathologer,10
3Blue1Brown,singingbanana,10
3Blue1Brown,Numberphile,10
3Blue1Brown,Looking Glass Universe,10
3Blue1Brown,Veritasium,10
3Blue1Brown,Steve Mould,10
3Blue1Brown,SmarterEveryDay,5
3Blue1Brown,Vsauce,5
3Blue1Brown,Think Twice,5
3Blue1Brown,Physics Girl,10
Numberphile,Veritasium,10
Numberphile,Vsauce,10
Numberphile,SmarterEveryDay,10
Numberphile,MinutePhysics,10
Numberphile,CGPGrey,10
Numberphile,Vihart,10
Numberphile,Stand-up Maths,10
Numberphile,singingbanana,10
Numberphile,Steve Mould,10
Numberphile,Tom Rocks Maths,10
singingbanana,Tom Rocks Maths,10
Tom Rocks Maths,3Blue1Brown,10
Stand-up Maths,Dream,5
Stand-up Maths,singingbanana,10
TheOdd1sOut,Vihart,5
TheOdd1sOut,CGPGrey,5
CGPGrey,Kurzgesagt - In a Nutshell,10
TierZoo,Casually Explained,10
RealLifeLore,TierZoo,10
RealLifeLore,WonderWhy,10
WonderWhy,Atlas Pro,10
Atlas Pro,Real Science,5
Real Science,Real Engineering,10
Real Engineering,Wendover Productions,10
Real Engineering,MinutePhysics,10
Wendover Productions,Half as Interesting,10
MinuteEarth,MinutePhysics,10
MinuteEarth,3Blue1Brown,10
MinuteEarth,Physics Girl,10
MinuteEarth,Tom Scott,10
MinuteEarth,Looking Glass Universe,10
MinuteEarth,Welch Labs,10
MinuteEarth,TierZoo,10
MinuteEarth,Jabrils,10
MinuteEarth,It's Okay to be Smart,10
It's Okay to be Smart,Vsauce,5
Tom Scott,Steve Mould,10
Tom Scott,Up and Atom,10
Tom Scott,12tone,10
Tom Scott,jacksfilms,10
Tom Scott,LegalEagle,10
Tom Scott,Jay Foreman,10
Tom Scott,Mumbo Jumbo,5
Tom Scott,Technology Connections,10
Tom Scott,Jaiden Animations,10
Tom Scott,LDShadowLady,10
Tom Scott,SmallishBeans,10
Tom Scott,Answer in Progress,10
Tom Scott,hbomberguy,10
Tom Scott,MrBeast,10
Jabrils,Up and Atom,10
Jabrils,3Blue1Brown,10
Jabrils,Physics Girl,10
Flammable Maths,Dr Peyam,10
Flammable Maths,3Blue1Brown,10
Flammable Maths,Think Twice,10
Flammable Maths,DorFuchs,10
Flammable Maths,Tibees,10
Flammable Maths,Andrew Dotson,10
Flammable Maths,Mathologer,10
Flammable Maths,blackpenredpen,10
Flammable Maths,Epic Math Time,10
Flammable Maths,Stand-up Maths,10
Flammable Maths,Zach Star,10
Flammable Maths,singingbanana,10
Flammable Maths,vcubingx,10
blackpenredpen,Dr Peyam,10
blackpenredpen,Michael Penn,10
