ID,Label,Count
MrBeast,MrBeast,61500000
Mark Rober,Mark Rober,18200000
Marques Brownlee,Marques Brownlee,14000000
Casey Neistat ,Casey Neistat ,12300000
Zach King,Zach King,10900000
Chris Ramsay,Chris Ramsay,4540000
GeorgeNotFound,GeorgeNotFound,7670000
Dream,Dream,21800000
The Game Theorists,The Game Theorists,14100000
PewDiePie,PewDiePie,110000000
Jaiden Animations,Jaiden Animations,9910000
TheOdd1sOut,TheOdd1sOut,16700000
AnthonyPadilla,AnthonyPadilla,5290000
illymation,illymation,1790000
SomeThingElseYT,SomeThingElseYT,4000000
Boyinaband,Boyinaband,3140000
RoomieOfficial,RoomieOfficial,7210000
Sultan Sketches,Sultan Sketches,916000
TheAMaazing,TheAMaazing,951000
Emirichu,Emirichu,2780000
Tabbes,Tabbes,2220000
Laddi,Laddi,179000
Wolfychu,Wolfychu,3130000
TimTom,TimTom,1790000
CDawgVA,CDawgVA,2080000
Daidus,Daidus,1470000
The Anime Man,The Anime Man,2810000
FootofaFerret,FootofaFerret,826000
Domics,Domics,7400000
Let Me Explain Studios,Let Me Explain Studios,3440000
RushLight Invader,RushLight Invader,269000
shgurr,shgurr,2400000
Life Noggin,Life Noggin,3240000
Juniper,Juniper,317000
TierZoo,TierZoo,2580000
GingerPale,GingerPale,1390000
CircletoonsHD,CircletoonsHD,2090000
Gigguk,Gigguk,2950000
Abroad in Japan,Abroad in Japan,2150000
Dogen,Dogen,356000
Captain Disillusion,Captain Disillusion,2160000
SmarterEveryDay,SmarterEveryDay,9650000
Steve Mould,Steve Mould,956000
Veritasium,Veritasium,8840000
Physics Girl,Physics Girl,1880000
Vsauce,Vsauce,16900000
Numberphile,Numberphile,3700000
Vihart,Vihart,1350000
MinutePhysics,MinutePhysics,5300000
CGPGrey,CGPGrey,4860000
Stand-up Maths,Stand-up Maths,853000
3Blue1Brown,3Blue1Brown,3660000
Wendover Productions,Wendover Productions,2900000
Welch Labs,Welch Labs,334000
Ben Eater,Ben Eater,717000
Mathologer,Mathologer,693000
singingbanana,singingbanana,216000
Looking Glass Universe,Looking Glass Universe,208000
Think Twice,Think Twice,92600
Tom Rocks Maths,Tom Rocks Maths,49800
Kurzgesagt - In a Nutshell,Kurzgesagt - In a Nutshell,14700000
Casually Explained,Casually Explained,3450000
RealLifeLore,RealLifeLore,4120000
WonderWhy,WonderWhy,711000
Atlas Pro,Atlas Pro,819000
Real Science,Real Science,447000
Real Engineering,Real Engineering,3020000
Half as Interesting,Half as Interesting,1800000
MinuteEarth,MinuteEarth,2540000
Tom Scott,Tom Scott,3800000
Jabrils,Jabrils,455000
It's Okay to be Smart,It's Okay to be Smart,3760000
Up and Atom,Up and Atom,311000
12tone,12tone,423000
